H,lr,run,beta,alpha,margin,method,dataset,n_iters,n_tasks,download,exp_name,mem_size,momentum,use_augs,data_root,n_classes,n_workers,subsample,task_free,wandb_log,batch_size,buffer_neg,eval_every,validation,distill_coef,incoming_neg,mir_head_only,wandb_project,cope_temperature,samples_per_task,buffer_batch_size,supcon_temperature,acc
,0.01,1,0.5,0.1,0.2,mir,miniimagenet,1,20,0,tmp,100,0.99,1,../cl-pytorch/data,100,8,50,0,online,10,0,-1,1,1,2,0,online_cl,0.1,-1,10,0.2,17.6875
,0.01,0,0.5,0.1,0.2,mir,miniimagenet,1,20,0,tmp,100,0.99,1,../cl-pytorch/data,100,8,50,0,online,10,0,-1,1,1,2,0,online_cl,0.1,-1,10,0.2,19.895833333333336
,0.01,1,0.5,0.1,0.2,mir,miniimagenet,1,20,0,tmp,100,0.99,1,../cl-pytorch/data,100,8,50,0,online,10,0,-1,1,1,2,1,online_cl,0.1,-1,10,0.2,8.104166666666668
,0.01,0,0.5,0.1,0.2,mir,miniimagenet,1,20,0,tmp,100,0.99,1,../cl-pytorch/data,100,8,50,0,online,10,0,-1,1,1,2,1,online_cl,0.1,-1,10,0.2,10.270833333333332
,0.01,1,0.5,0.1,0.2,mir,miniimagenet,1,20,0,tmp,50,0.99,1,../cl-pytorch/data,100,8,50,0,online,10,0,-1,1,1,2,0,online_cl,0.1,-1,10,0.2,13.437499999999996
,0.01,0,0.5,0.1,0.2,mir,miniimagenet,1,20,0,tmp,50,0.99,1,../cl-pytorch/data,100,8,50,0,online,10,0,-1,1,1,2,0,online_cl,0.1,-1,10,0.2,19.666666666666664
,0.01,1,0.5,0.1,0.2,mir,miniimagenet,1,20,0,tmp,50,0.99,1,../cl-pytorch/data,100,8,50,0,online,10,0,-1,1,1,2,1,online_cl,0.1,-1,10,0.2,6.333333333333333
,0.01,0,0.5,0.1,0.2,mir,miniimagenet,1,20,0,tmp,50,0.99,1,../cl-pytorch/data,100,8,50,0,online,10,0,-1,1,1,2,1,online_cl,0.1,-1,10,0.2,6.020833333333333
,0.01,1,0.5,0.1,0.2,mir,miniimagenet,1,20,0,tmp,20,0.99,1,../cl-pytorch/data,100,8,50,0,online,10,0,-1,1,1,2,0,online_cl,0.1,-1,10,0.2,17.229166666666664
,0.01,0,0.5,0.1,0.2,mir,miniimagenet,1,20,0,tmp,20,0.99,1,../cl-pytorch/data,100,8,50,0,online,10,0,-1,1,1,2,0,online_cl,0.1,-1,10,0.2,17.333333333333332
,0.01,1,0.5,0.1,0.2,mir,miniimagenet,1,20,0,tmp,20,0.99,1,../cl-pytorch/data,100,8,50,0,online,10,0,-1,1,1,2,1,online_cl,0.1,-1,10,0.2,10.895833333333332
,0.01,0,0.5,0.1,0.2,mir,miniimagenet,1,20,0,tmp,20,0.99,1,../cl-pytorch/data,100,8,50,0,online,10,0,-1,1,1,2,1,online_cl,0.1,-1,10,0.2,14.416666666666666
,0.05,1,0.5,0.1,0.2,mir,miniimagenet,1,20,0,tmp,100,0.99,1,../cl-pytorch/data,100,8,50,0,online,10,0,-1,1,1,2,0,online_cl,0.1,-1,10,0.2,15.208333333333332
,0.05,0,0.5,0.1,0.2,mir,miniimagenet,1,20,0,tmp,100,0.99,1,../cl-pytorch/data,100,8,50,0,online,10,0,-1,1,1,2,0,online_cl,0.1,-1,10,0.2,13.979166666666666
,0.05,1,0.5,0.1,0.2,mir,miniimagenet,1,20,0,tmp,100,0.99,1,../cl-pytorch/data,100,8,50,0,online,10,0,-1,1,1,2,1,online_cl,0.1,-1,10,0.2,8.770833333333332
,0.05,0,0.5,0.1,0.2,mir,miniimagenet,1,20,0,tmp,100,0.99,1,../cl-pytorch/data,100,8,50,0,online,10,0,-1,1,1,2,1,online_cl,0.1,-1,10,0.2,8.354166666666668
,0.05,1,0.5,0.1,0.2,mir,miniimagenet,1,20,0,tmp,50,0.99,1,../cl-pytorch/data,100,8,50,0,online,10,0,-1,1,1,2,0,online_cl,0.1,-1,10,0.2,24.020833333333336
,0.05,0,0.5,0.1,0.2,mir,miniimagenet,1,20,0,tmp,50,0.99,1,../cl-pytorch/data,100,8,50,0,online,10,0,-1,1,1,2,0,online_cl,0.1,-1,10,0.2,11.687499999999998
,0.05,1,0.5,0.1,0.2,mir,miniimagenet,1,20,0,tmp,50,0.99,1,../cl-pytorch/data,100,8,50,0,online,10,0,-1,1,1,2,1,online_cl,0.1,-1,10,0.2,10.4375
