lr,nf,run,beta,alpha,margin,method,dataset,n_iters,n_tasks,download,exp_name,mem_size,momentum,use_augs,data_root,n_classes,subsample,task_free,wandb_log,batch_size,buffer_neg,eval_every,validation,distill_coef,incoming_neg,mir_head_only,wandb_project,load_best_args,cope_temperature,samples_per_task,buffer_batch_size,supcon_temperature,acc
0.001,20,1,1.0,0.75,0.2,der++,miniimagenet,1,20,0,tmp,100,0.99,1,../cl-pytorch/data,100,50,1,online,10,0,-1,1,1,2,0,online_cl,0,0.1,-1,10,0.2,5.42
0.001,20,0,1.0,0.75,0.2,der++,miniimagenet,1,20,0,tmp,100,0.99,1,../cl-pytorch/data,100,50,1,online,10,0,-1,1,1,2,0,online_cl,0,0.1,-1,10,0.2,5.2
0.001,20,2,1.0,0.75,0.2,der++,miniimagenet,1,20,0,tmp,50,0.99,1,../cl-pytorch/data,100,50,1,online,10,0,-1,1,1,2,0,online_cl,0,0.1,-1,10,0.2,5.74
0.001,20,1,1.0,0.75,0.2,der++,miniimagenet,1,20,0,tmp,50,0.99,1,../cl-pytorch/data,100,50,1,online,10,0,-1,1,1,2,0,online_cl,0,0.1,-1,10,0.2,5.6
0.001,20,0,1.0,0.75,0.2,der++,miniimagenet,1,20,0,tmp,50,0.99,1,../cl-pytorch/data,100,50,1,online,10,0,-1,1,1,2,0,online_cl,0,0.1,-1,10,0.2,5.68
0.001,20,2,1.0,0.75,0.2,der++,miniimagenet,1,20,0,tmp,20,0.99,1,../cl-pytorch/data,100,50,1,online,10,0,-1,1,1,2,0,online_cl,0,0.1,-1,10,0.2,5.680000000000001
0.001,20,1,1.0,0.75,0.2,der++,miniimagenet,1,20,0,tmp,20,0.99,1,../cl-pytorch/data,100,50,1,online,10,0,-1,1,1,2,0,online_cl,0,0.1,-1,10,0.2,5.9
0.001,20,0,1.0,0.75,0.2,der++,miniimagenet,1,20,0,tmp,20,0.99,1,../cl-pytorch/data,100,50,1,online,10,0,-1,1,1,2,0,online_cl,0,0.1,-1,10,0.2,6.340000000000001
0.01,20,2,1.0,0.75,0.2,der++,miniimagenet,1,20,0,tmp,100,0.99,1,../cl-pytorch/data,100,50,1,online,10,0,-1,1,1,2,0,online_cl,0,0.1,-1,10,0.2,10.34
0.01,20,1,1.0,0.75,0.2,der++,miniimagenet,1,20,0,tmp,100,0.99,1,../cl-pytorch/data,100,50,1,online,10,0,-1,1,1,2,0,online_cl,0,0.1,-1,10,0.2,8.86
0.01,20,0,1.0,0.75,0.2,der++,miniimagenet,1,20,0,tmp,100,0.99,1,../cl-pytorch/data,100,50,1,online,10,0,-1,1,1,2,0,online_cl,0,0.1,-1,10,0.2,7.0200000000000005
0.01,20,2,1.0,0.75,0.2,der++,miniimagenet,1,20,0,tmp,50,0.99,1,../cl-pytorch/data,100,50,1,online,10,0,-1,1,1,2,0,online_cl,0,0.1,-1,10,0.2,11.420000000000002
0.01,20,1,1.0,0.75,0.2,der++,miniimagenet,1,20,0,tmp,50,0.99,1,../cl-pytorch/data,100,50,1,online,10,0,-1,1,1,2,0,online_cl,0,0.1,-1,10,0.2,10.32
0.01,20,0,1.0,0.75,0.2,der++,miniimagenet,1,20,0,tmp,50,0.99,1,../cl-pytorch/data,100,50,1,online,10,0,-1,1,1,2,0,online_cl,0,0.1,-1,10,0.2,8.66
0.01,20,2,1.0,0.75,0.2,der++,miniimagenet,1,20,0,tmp,20,0.99,1,../cl-pytorch/data,100,50,1,online,10,0,-1,1,1,2,0,online_cl,0,0.1,-1,10,0.2,10.3
0.01,20,1,1.0,0.75,0.2,der++,miniimagenet,1,20,0,tmp,20,0.99,1,../cl-pytorch/data,100,50,1,online,10,0,-1,1,1,2,0,online_cl,0,0.1,-1,10,0.2,12.239999999999998
